country,Population,O+,A+,B+,AB+,O−,A−,B−,AB−,Total A,cases per mil,deaths per mil
Sweden,9920843.0,0.32,0.37,0.1,0.05,0.06,0.07,0.02,0.01,0.44,4431.0,462.0
Switzerland,8454321.0,0.35,0.38,0.08,0.04,0.06,0.07,0.01,0.01,0.45,3580.0,222.0
Syria,18920698.0,0.43,0.3,0.14,0.037,0.05,0.03,0.01,0.003,0.32999999999999996,7.0,0.3
Taiwan,23234936.0,0.439,0.259,0.239,0.06,0.0017,0.001,0.0001,0.0002,0.26,19.0,0.3
Thailand,68298027.0,0.408,0.169,0.368,0.0497,0.002,0.001,0.002,0.0003,0.17,45.0,0.8
Turkey,80420065.0,0.298,0.378,0.142,0.072,0.039,0.047,0.016,0.008,0.425,2019.0,56.0
Uganda,43276492.0,0.437,0.39,0.107,0.039,0.013,0.01,0.003,0.001,0.4,14.0,
Ukraine,44404078.0,0.32,0.34,0.15,0.05,0.05,0.06,0.02,0.01,0.4,617.0,18.0
United Arab Emirates,3398017.0,0.441,0.219,0.209,0.043,0.043,0.021,0.02,0.004,0.24,3927.0,28.0
United Kingdom,65512375.0,0.38,0.32,0.08,0.03,0.09,0.07,0.02,0.01,0.39,4217.0,597.0
Venezuela,32011082.0,0.583,0.282,0.056,0.019,0.037,0.018,0.004,0.001,0.3,81.0,0.8
Vietnam,95414640.0,0.417,0.219,0.308,0.0498,0.003,0.001,0.002,0.0002,0.22,3.0,
Yemen,29246429.0,0.4784,0.275,0.1532,0.0214,0.0366,0.021,0.0117,0.0016,0.29600000000000004,16.0,4.0
Zimbabwe,16912880.0,0.633,0.185,0.146,0.0099,0.017,0.005,0.004,0.0001,0.19,19.0,0.3
