"asciiname","population","location"
"Oskarshamn",18287,"https://www.google.com/maps/?q=57.26455,16.44837"
"Naessjoe",17719,"https://www.google.com/maps/?q=57.65307,14.69676"
"Moelnlycke",17579,"https://www.google.com/maps/?q=57.65893,12.11792"
"Falkoeping",17170,"https://www.google.com/maps/?q=58.17347,13.55068"
"Tensta",17083,"https://www.google.com/maps/?q=59.3939,17.90111"
"Kiruna",17037,"https://www.google.com/maps/?q=67.85572,20.22513"
"Rasunda",16877,"https://www.google.com/maps/?q=59.36588,17.99569"
"Boden",16830,"https://www.google.com/maps/?q=65.82518,21.68864"
"Arsta",16807,"https://www.google.com/maps/?q=59.2978,18.0514"
"Kumla",16663,"https://www.google.com/maps/?q=59.1277,15.14341"
"Gamla Uppsala",16231,"https://www.google.com/maps/?q=59.89817,17.63386"
"Mariestad",16122,"https://www.google.com/maps/?q=58.70971,13.82367"
"Hudiksvall",16081,"https://www.google.com/maps/?q=61.72744,17.10558"
"Tullinge",16000,"https://www.google.com/maps/?q=59.2,17.9"
"Ljungby",15785,"https://www.google.com/maps/?q=56.83324,13.94082"
"Staffanstorp",15373,"https://www.google.com/maps/?q=55.64277,13.20638"
"Ludvika",15245,"https://www.google.com/maps/?q=60.14959,15.18776"
"Kinna",15019,"https://www.google.com/maps/?q=57.50728,12.69463"
"Hoellviken",14889,"https://www.google.com/maps/?q=55.40982,12.9558"
"Billdal",14874,"https://www.google.com/maps/?q=57.56667,11.93333"
"Hoeganaes",14778,"https://www.google.com/maps/?q=56.19971,12.55795"
"Tranas",14550,"https://www.google.com/maps/?q=58.03717,14.9782"
"Nynaeshamn",14532,"https://www.google.com/maps/?q=58.90337,17.94793"
"Arvika",13926,"https://www.google.com/maps/?q=59.65528,12.58518"
"Bollnaes",13716,"https://www.google.com/maps/?q=61.34817,16.39464"
"Straengnaes",13693,"https://www.google.com/maps/?q=59.37741,17.03119"
"Skoghall",13605,"https://www.google.com/maps/?q=59.32324,13.46552"
"Vetlanda",13430,"https://www.google.com/maps/?q=57.42887,15.07762"
"Balsta",13138,"https://www.google.com/maps/?q=59.5671,17.52781"
"Stenungsund",13093,"https://www.google.com/maps/?q=58.07046,11.8181"
"Sala",13087,"https://www.google.com/maps/?q=59.91993,16.60655"
"Bunkeflostrand",13048,"https://www.google.com/maps/?q=55.54478,12.92375"
"Nybro",13039,"https://www.google.com/maps/?q=56.74461,15.90714"
"Mjoelby",12858,"https://www.google.com/maps/?q=58.32595,15.12365"
"Finspang",12807,"https://www.google.com/maps/?q=58.70578,15.76739"
"Oxie",12665,"https://www.google.com/maps/?q=55.54014,13.09605"
"Ronneby",12612,"https://www.google.com/maps/?q=56.20999,15.27602"
"Mora",12602,"https://www.google.com/maps/?q=61.00704,14.54316"
"Lomma",12368,"https://www.google.com/maps/?q=55.67244,13.06849"
"Onsala",12275,"https://www.google.com/maps/?q=57.42531,12.02903"
"Soederhamn",12259,"https://www.google.com/maps/?q=61.30373,17.05921"
"Hoeoer",12152,"https://www.google.com/maps/?q=55.93444,13.5385"
"Avesta",11949,"https://www.google.com/maps/?q=60.14274,16.16295"
"Fagersta",11936,"https://www.google.com/maps/?q=60.00418,15.79316"
"Svedala",11796,"https://www.google.com/maps/?q=55.50788,13.23515"
"Handen",11524,"https://www.google.com/maps/?q=59.16809,18.13796"
"Ekeroe",11505,"https://www.google.com/maps/?q=59.291,17.81212"
"Skara",11437,"https://www.google.com/maps/?q=58.38659,13.43836"
"Alby",11400,"https://www.google.com/maps/?q=59.2335,17.8538"
"Oxeloesund",11157,"https://www.google.com/maps/?q=58.67057,17.10152"
"Noedinge-Nol",11117,"https://www.google.com/maps/?q=57.91259,12.05591"
"Lindome",10942,"https://www.google.com/maps/?q=57.56667,12.08333"
"Arboga",10841,"https://www.google.com/maps/?q=59.39387,15.83882"
"Hallstahammar",10787,"https://www.google.com/maps/?q=59.61395,16.22846"
"Jordbro",10757,"https://www.google.com/maps/?q=59.14972,18.11667"
"Ulricehamn",10629,"https://www.google.com/maps/?q=57.79159,13.41422"
"Bjuv",10602,"https://www.google.com/maps/?q=56.08372,12.91914"
"Segeltorp",10536,"https://www.google.com/maps/?q=59.27597,17.93072"
"Timra",10495,"https://www.google.com/maps/?q=62.48654,17.32613"
"Gaellivare",10362,"https://www.google.com/maps/?q=67.13387,20.65278"
"Kista",10254,"https://www.google.com/maps/?q=59.40316,17.94479"
"Gislaved",10180,"https://www.google.com/maps/?q=57.3044,13.54078"
"Eksjoe",10157,"https://www.google.com/maps/?q=57.66643,14.97205"
"Kungsaengen",10151,"https://www.google.com/maps/?q=59.47857,17.74834"
"Torslanda",10129,"https://www.google.com/maps/?q=57.72432,11.77013"
"Bjaerred",9844,"https://www.google.com/maps/?q=55.71667,13.01667"
"Ahus",9840,"https://www.google.com/maps/?q=55.91667,14.28333"
"Saevja",9723,"https://www.google.com/maps/?q=59.81872,17.69958"
"Lindesberg",9571,"https://www.google.com/maps/?q=59.59202,15.2304"
