date,city,count
17-03-2020,ahmedabad,0
18-03-2020,ahmedabad,0
19-03-2020,ahmedabad,0
20-03-2020,ahmedabad,0
21-03-2020,ahmedabad,3
22-03-2020,ahmedabad,2
23-03-2020,ahmedabad,3
24-03-2020,ahmedabad,6
25-03-2020,ahmedabad,0
26-03-2020,ahmedabad,0
27-03-2020,ahmedabad,0
28-03-2020,ahmedabad,0
29-03-2020,ahmedabad,3
30-03-2020,ahmedabad,4
31-03-2020,ahmedabad,1
01-04-2020,ahmedabad,1
02-04-2020,ahmedabad,8
03-04-2020,ahmedabad,0
04-04-2020,ahmedabad,7
05-04-2020,ahmedabad,7
06-04-2020,ahmedabad,8
07-04-2020,ahmedabad,11
08-04-2020,ahmedabad,19
09-04-2020,ahmedabad,0
10-04-2020,ahmedabad,59
11-04-2020,ahmedabad,55
12-04-2020,ahmedabad,46
13-04-2020,ahmedabad,39
14-04-2020,ahmedabad,38
15-04-2020,ahmedabad,53
16-04-2020,ahmedabad,77
17-04-2020,ahmedabad,95
18-04-2020,ahmedabad,78
19-04-2020,ahmedabad,239
30-01-2020,chennai,0
02-02-2020,chennai,0
03-02-2020,chennai,0
02-03-2020,chennai,0
03-03-2020,chennai,0
04-03-2020,chennai,0
05-03-2020,chennai,0
06-03-2020,chennai,0
07-03-2020,chennai,0
08-03-2020,chennai,0
09-03-2020,chennai,0
10-03-2020,chennai,0
11-03-2020,chennai,0
12-03-2020,chennai,0
13-03-2020,chennai,0
14-03-2020,chennai,0
15-03-2020,chennai,0
16-03-2020,chennai,0
17-03-2020,chennai,0
18-03-2020,chennai,0
19-03-2020,chennai,1
20-03-2020,chennai,1
21-03-2020,chennai,0
22-03-2020,chennai,1
23-03-2020,chennai,1
24-03-2020,chennai,1
25-03-2020,chennai,5
26-03-2020,chennai,1
27-03-2020,chennai,2
28-03-2020,chennai,2
29-03-2020,chennai,1
30-03-2020,chennai,0
31-03-2020,chennai,5
01-04-2020,chennai,4
02-04-2020,chennai,1
03-04-2020,chennai,20
04-04-2020,chennai,35
05-04-2020,chennai,7
06-04-2020,chennai,7
07-04-2020,chennai,15
08-04-2020,chennai,39
09-04-2020,chennai,7
10-04-2020,chennai,7
11-04-2020,chennai,9
12-04-2020,chennai,10
13-04-2020,chennai,18
14-04-2020,chennai,9
15-04-2020,chennai,5
16-04-2020,chennai,5
17-04-2020,chennai,3
18-04-2020,chennai,11
19-04-2020,chennai,7
30-01-2020,kolkata,0
02-02-2020,kolkata,0
03-02-2020,kolkata,0
02-03-2020,kolkata,0
03-03-2020,kolkata,0
04-03-2020,kolkata,0
05-03-2020,kolkata,0
06-03-2020,kolkata,0
07-03-2020,kolkata,0
08-03-2020,kolkata,0
09-03-2020,kolkata,0
10-03-2020,kolkata,0
11-03-2020,kolkata,0
12-03-2020,kolkata,0
